epoch,rIndex
1478167200.0,1.3428252170163035
1478188800.0,1.3428953815440867
1478210400.0,1.3428362008279928
1478232000.0,1.3428571689448479
1478253600.0,1.3425759917102684
1478275200.0,1.3425203555204885
1478296800.0,1.3427043198815722
1478318400.0,nan
1478340000.0,1.3429747962113994
1478361600.0,1.3427822870125952
1478383200.0,1.3426121312376098
1478404800.0,1.34308013855
1478430000.0,1.3427002409603934
1478451600.0,1.3428860751883986
1478473200.0,1.342667974628567
1478494800.0,nan
1478516400.0,1.3429380950369767
1478538000.0,1.3425049675067227
1478559600.0,1.3425013219673168
1478581200.0,nan
1478602800.0,1.3425194919801815
1478624400.0,1.342701907780231
1478646000.0,1.3426925870569582
1478667600.0,nan
1478689200.0,1.3425365292644251
1478710800.0,1.3424393779405188
1478732400.0,1.3426816584812733
1478754000.0,nan
1478775600.0,1.342806734585925
1478797200.0,1.3429156528591002
1478818800.0,1.342726306975533
1478840400.0,nan
1478862000.0,1.3424023060569754
1478883600.0,1.3424309335329159
1478905200.0,1.3428708876305708
1478926800.0,nan
1478948400.0,1.342818744275567
1478970000.0,1.342502029118236
1478991600.0,1.3427086199914804
1479013200.0,1.342234067
1479034800.0,1.3425701461231647
1479056400.0,1.3427784500930044
1479078000.0,1.34271565509899
1479099600.0,nan
1479121200.0,1.3428210313634743
1479142800.0,1.342577533971394
1479164400.0,1.34285899928025
1479186000.0,nan
1479207600.0,1.3427520402972295
1479229200.0,1.3424214213434589
1479250800.0,1.3429931336886773
1479272400.0,nan
1479294000.0,1.3429558965968682
1479315600.0,1.3427946162764668
1479337200.0,1.3429089881145448
1479358800.0,nan
1479380400.0,1.3427467338877652
1479402000.0,1.3427476809436536
1479423600.0,1.342613951755629
1479445200.0,nan
1479466800.0,1.343114842883361
1479488400.0,1.3428477772140492
1479510000.0,1.3426688528838813
1479531600.0,nan
1479553200.0,1.3425346896695234
1479574800.0,1.3423201464097978
1479596400.0,1.34269852501936
1479618000.0,nan
1479639600.0,1.3425914300345343
1479661200.0,1.3428105424174877
1479682800.0,1.3426603206812295
1479704400.0,nan
1479726000.0,1.342829591979092
1479747600.0,1.3428273506792667
1479769200.0,1.3427649997196314
1479790800.0,nan
1479812400.0,1.342673760730694
1479834000.0,1.3423247363812378
1479855600.0,nan
1479877200.0,nan
1479898800.0,1.3431728060460586
1479920400.0,1.342955553517288
1479942000.0,1.3426450865354131
1479963600.0,nan
1479985200.0,1.3428043950289776
1480006800.0,1.342660267283447
1480028400.0,1.3426821210466728
1480050000.0,nan
1480071600.0,1.342807499645472
1480093200.0,1.3424240694315956
1480114800.0,1.3428071697708037
1480136400.0,nan
1480158000.0,1.3423700498132998
1480179600.0,1.342861199834372
1480201200.0,1.3430181637640322
1480222800.0,nan
1480244400.0,1.3426380203649582
1480266000.0,1.3429274943530238
1480287600.0,1.3428858187572394
1480309200.0,nan
1480330800.0,1.3426852330598564
1480352400.0,1.3427331788852557
1480374000.0,1.3427530176405515
1480395600.0,nan
1480417200.0,1.3426722178927564
1480438800.0,1.3429195429656033
1480460400.0,1.342814768430566
1480482000.0,nan
1480503600.0,1.342593581357874
1480525200.0,1.3427928673521494
1480546800.0,1.3426679806887547
1480568400.0,nan
1480590000.0,1.3429540109465683
1480611600.0,1.3427010189502298
1480633200.0,1.3427104010290891
1480654800.0,nan
1480676400.0,1.342908923326706
1480698000.0,1.342842088653338
1480719600.0,1.3429440891223472
1480741200.0,nan
1480762800.0,1.3426302497894087
1480784400.0,1.3429109822403171
1480806000.0,1.343038788619481
1480827600.0,nan
1480849200.0,1.3429184595267414
1480870800.0,1.343023726493784
1480892400.0,1.3429384784932947
1480914000.0,nan
1480935600.0,1.3426242018979155
1480957200.0,1.3428862630282716
1480978800.0,1.3426535878394168
1481000400.0,nan
1481022000.0,1.3426331522575814
1481043600.0,1.3429059403899999
1481065200.0,1.3429866438545879
1481086800.0,nan
1481108400.0,1.3427084674178384
1481130000.0,1.342934829327126
1481151600.0,1.3427698286140755
1481173200.0,nan
1481194800.0,1.3427964242941561
1481216400.0,1.343210166396082
1481238000.0,1.3429081470648465
1481259600.0,nan
1481281200.0,1.3429952990761163
1481302800.0,1.3430586837219554
1481324400.0,1.3429118799589495
1481346000.0,nan
1481367600.0,1.3430401807915415
1481389200.0,1.3427361902176413
1481410800.0,1.3429987639918608
1481432400.0,nan
1481454000.0,1.342707241387078
1481475600.0,1.3426799199118635
1481497200.0,1.3428863598961829
1481518800.0,nan
1481540400.0,1.3429339810295404
1481562000.0,1.34287892860909
1481583600.0,1.3430071930302245
1481605200.0,nan
1481626800.0,1.34288042097322
1481648400.0,1.342818629143119
1481670000.0,1.3428638368784274
1481691600.0,nan
1481713200.0,1.3425975881391803
1481734800.0,1.342879603923792
1481756400.0,1.3431139365627387
1481778000.0,nan
1481799600.0,1.3431921737182593
1481821200.0,1.3427153485604266
1481842800.0,1.343045968493637
1481864400.0,nan
1481886000.0,1.3429318653481093
1481907600.0,1.34266717158632
1481929200.0,1.342975854795834
1481950800.0,nan
1481972400.0,1.342787861385721
1481994000.0,1.3428759841517937
1482015600.0,1.3431031488999066
1482037200.0,nan
1482058800.0,1.3429092732895744
1482080400.0,1.3430177136228127
1482102000.0,1.342802091075059
1482123600.0,nan
1482145200.0,1.3427071998448128
1482166800.0,1.342897443950897
1482188400.0,1.3431625525235076
1482210000.0,nan
1482231600.0,1.3432508275624888
1482253200.0,1.3427151752782098
1482274800.0,1.3429969762576206
1482296400.0,nan
1482318000.0,1.3428632947308785
1482339600.0,1.3430774035636583
1482361200.0,1.3428913073521789
1482382800.0,nan
1482404400.0,1.342924227922218
1482426000.0,1.3428427989230014
1482447600.0,1.3427861239338255
1482469200.0,nan
1482490800.0,1.3426387495344598
1482512400.0,1.3428978964595077
1482534000.0,1.3428113467934222
1482555600.0,nan
1482577200.0,1.3428729800562498
1482598800.0,1.3427186773331565
1482620400.0,1.3429392742621866
1482642000.0,nan
1482663600.0,1.342919876565028
1482685200.0,1.3430460334141157
1482706800.0,1.3427232887848608
1482728400.0,nan
1482750000.0,1.3428682981331104
1482771600.0,1.3433124934223668
1482793200.0,1.3429871508778315
1482814800.0,nan
1482836400.0,1.3426955551569868
1482858000.0,1.3430173958835658
1482879600.0,1.3429094682560465
1482901200.0,nan
1482922800.0,1.3429744520913367
1482944400.0,1.3431051396335585
1482966000.0,1.3429600337520715
1482987600.0,nan
1483009200.0,1.342967952931214
1483030800.0,1.3432299735499518
1483052400.0,1.343183053040454
1483074000.0,nan
1483095600.0,1.3427040644940127
1483117200.0,1.343136384189409
1483138800.0,1.342867548811477
1483160400.0,nan
1483182000.0,1.3431747651680992
1483203600.0,1.3430404241427303
1483225200.0,1.3430130268103189
1483246800.0,nan
1483268400.0,1.3428138076054452
1483290000.0,1.34311000228539
1483311600.0,1.343044219363893
1483333200.0,1.3427044017736995
1483354800.0,1.3429379237932455
1483376400.0,1.3428649904599248
1483398000.0,1.3431005209109705
1483419600.0,1.342721465568599
1483441200.0,1.3432250425473806
1483462800.0,1.3429894901080885
1483484400.0,1.3428489801251275
1483506000.0,nan
1483527600.0,1.3431409661234366
1483549200.0,1.3431948523762491
1483570800.0,1.3432898551856687
1483592400.0,1.342705989044936
1483614000.0,1.34313061806528
1483635600.0,1.342812557175272
1483657200.0,1.3430082632807119
1483678800.0,nan
1483700400.0,1.3428781018873601
1483722000.0,1.3432225974858252
1483743600.0,1.343008545376319
1483765200.0,1.3427721460449
1483786800.0,1.3427692508855735
1483808400.0,1.343045921687237
1483830000.0,1.3431266540714801
1483851600.0,nan
1483873200.0,1.3429198928558568
1483894800.0,1.343245227137352
1483916400.0,1.3429460975515186
1483938000.0,nan
1483959600.0,1.3429989549572268
1483981200.0,1.3431522791277197
1484002800.0,1.343058491225785
1484024400.0,nan
1484046000.0,1.3428960077227179
1484067600.0,1.342785299596754
1484089200.0,1.3431261188781916
1484110800.0,nan
1484132400.0,1.343088854157061
1484154000.0,1.3429202239749995
1484175600.0,1.3430946461739575
1484197200.0,nan
1484218800.0,1.342833223060243
1484240400.0,1.3428344436382584
1484262000.0,1.3429790914114474
1484283600.0,nan
1484305200.0,1.3430784391329127
1484326800.0,1.3429643853174422
1484348400.0,1.343066575084039
1484370000.0,nan
1484391600.0,1.3430000228560044
1484413200.0,1.3429568892192294
1484434800.0,1.343168678932429
1484456400.0,nan
1484478000.0,1.3429166384498459
1484499600.0,1.343063585209984
1484521200.0,1.343173655130816
1484542800.0,nan
1484564400.0,1.3428835070208562
1484586000.0,1.3428575356398686
1484607600.0,1.3430851804309691
1484629200.0,nan
1484650800.0,1.3428995405665438
1484672400.0,1.3430556070086201
1484694000.0,1.3431524716493322
1484715600.0,nan
1484737200.0,1.343033905474631
1484758800.0,1.343295424549319
1484780400.0,1.3430642479381971
1484802000.0,nan
1484823600.0,1.343107902185017
1484845200.0,1.3430671768106097
1484866800.0,1.3430923371305181
1484888400.0,nan
1484910000.0,1.3433873461892338
1484931600.0,1.3430957052882841
1484953200.0,1.3431552687421882
1484974800.0,nan
1484996400.0,1.3430354712850603
1485018000.0,1.3430915392541278
1485039600.0,1.343117958963102
1485061200.0,nan
1485082800.0,1.3429024201636188
1485104400.0,1.342945208440936
1485126000.0,1.3431643039833403
1485147600.0,nan
1485169200.0,1.3431362790544912
1485190800.0,1.3430867329956542
1485212400.0,1.3430646024222008
1485234000.0,nan
1485255600.0,1.342906133391394
1485277200.0,1.3430955585966204
1485298800.0,1.342935087067319
1485320400.0,nan
1485342000.0,1.3430640661231754
1485363600.0,1.3428947561076705
1485385200.0,1.3430975486598602
1485406800.0,nan
1485428400.0,1.3430341506788537
1485450000.0,1.342966664196012
1485471600.0,1.3432322884780845
1485493200.0,nan
1485514800.0,1.3432216159287025
1485536400.0,1.3429119945857628
