platform_code,time,ztmp,zsal
2800401,2017-01-08T02:00:00Z,10.579981,34.29
2800401,2017-01-08T02:00:00Z,10.439997,34.27
2800401,2017-01-08T02:00:00Z,17.920008,34.76
2800401,2017-01-08T02:00:00Z,20.659998,34.85
2800401,2017-01-08T02:00:00Z,20.549982,NaN
2800401,2017-01-08T18:00:00Z,NaN,NaN
2800401,2017-01-08T17:00:00Z,NaN,NaN
2800401,2017-01-08T02:00:00Z,20.659998,34.84
2800401,2017-01-09T02:00:00Z,19.980005,34.82
2800401,2017-01-09T02:00:00Z,19.969995,34.87
2800401,2017-01-09T02:00:00Z,17.469995,34.73
2800401,2017-01-09T02:00:00Z,19.88,NaN
2800401,2017-01-09T02:00:00Z,12.170008,NaN
2800401,2017-01-09T02:00:00Z,20.049982,34.85
2800401,2017-01-09T02:00:00Z,17.779993,34.75
2800401,2017-01-09T18:00:00Z,NaN,NaN
2800401,2017-01-09T02:00:00Z,20.029993,34.86
2800401,2017-01-09T02:00:00Z,20.170008,34.87
2800401,2017-01-09T02:00:00Z,20.11999,34.84
2800401,2017-01-09T02:00:00Z,20.019983,34.87
2800401,2017-01-09T02:00:00Z,19.929987,NaN
2800401,2017-01-09T14:00:00Z,NaN,NaN
2800401,2017-01-09T02:00:00Z,12.629999,NaN
2800401,2017-01-10T02:00:00Z,18.290003,34.829998
2800401,2017-01-10T02:00:00Z,20.38,34.85
2800401,2017-01-10T02:00:00Z,20.219995,34.86
2800401,2017-01-10T02:00:00Z,20.13,34.88
2800401,2017-01-10T02:00:00Z,20.269983,34.87
2800401,2017-01-10T02:00:00Z,20.1,34.86
2800401,2017-01-10T02:00:00Z,11.959986,34.36
2800401,2017-01-10T02:00:00Z,20.249994,34.87
2800401,2017-01-10T02:00:00Z,11.85,34.37
2800401,2017-01-10T02:00:00Z,20.159998,34.85
2800401,2017-01-10T02:00:00Z,20.33999,NaN
2800401,2017-01-11T02:00:00Z,12.209986,34.38
2800401,2017-01-11T02:00:00Z,17.959986,34.78
2800401,2017-01-11T02:00:00Z,17.570002,34.71
2800401,2017-01-11T21:00:00Z,NaN,NaN
2800401,2017-01-11T02:00:00Z,20.13,34.85
2800401,2017-01-11T02:00:00Z,20.189997,34.87
2800401,2017-01-11T02:00:00Z,17.809992,34.719997
2800401,2017-01-11T02:00:00Z,20.209986,34.87
2800401,2017-01-11T02:00:00Z,16.86999,NaN
2800401,2017-01-11T02:00:00Z,17.769983,34.719997
2800401,2017-01-11T02:00:00Z,14.7199955,NaN
2800401,2017-01-11T02:00:00Z,20.239985,NaN
2800401,2017-01-11T02:00:00Z,NaN,NaN
2800401,2017-01-12T02:00:00Z,NaN,NaN
2800401,2017-01-12T02:00:00Z,17.58999,34.71
2800401,2017-01-12T02:00:00Z,20.10998,34.86
2800401,2017-01-12T02:00:00Z,20.170008,34.84
2800401,2017-01-12T02:00:00Z,20.1,NaN
2800401,2017-01-12T19:00:00Z,NaN,NaN
2800401,2017-01-12T01:00:00Z,NaN,NaN
2800401,2017-01-12T02:00:00Z,17.779993,34.71
2800401,2017-01-12T02:00:00Z,20.230005,34.87
2800401,2017-01-12T22:00:00Z,NaN,NaN
2800401,2017-01-12T02:00:00Z,20.219995,34.87
2800401,2017-01-12T02:00:00Z,17.1,34.719997
2800401,2017-01-12T02:00:00Z,20.149988,34.86
2800401,2017-01-12T02:00:00Z,20.209986,34.84
2800401,2017-01-12T02:00:00Z,20.13,NaN
2800401,2017-01-12T02:00:00Z,14.159998,NaN
2800401,2017-01-13T02:00:00Z,20.149988,34.86
2800401,2017-01-13T02:00:00Z,12.379999,34.39
2800401,2017-01-13T02:00:00Z,20.200006,34.88
2800401,2017-01-13T02:00:00Z,13.529993,NaN
2800401,2017-01-13T02:00:00Z,16.219995,NaN
2800401,2017-01-13T03:00:00Z,NaN,NaN
2800401,2017-01-13T02:00:00Z,20.239985,34.85
2800401,2017-01-13T02:00:00Z,18.36999,34.82
2800401,2017-01-13T02:00:00Z,13.760004,NaN
2800401,2017-01-13T02:00:00Z,16.260004,NaN
2800401,2017-01-13T02:00:00Z,20.279993,34.85
2800401,2017-01-13T05:00:00Z,NaN,NaN
2800401,2017-01-13T02:00:00Z,20.279993,NaN
2800401,2017-01-14T02:00:00Z,13.2000065,NaN
2800401,2017-01-14T02:00:00Z,11.959986,34.35
2800401,2017-01-14T02:00:00Z,20.159998,34.85
2800401,2017-01-14T02:00:00Z,11.6,34.34
2800401,2017-01-14T02:00:00Z,19.700006,34.79
2800401,2017-01-14T02:00:00Z,19.86999,34.829998
2800401,2017-01-14T02:00:00Z,20.13,34.87
2800401,2017-01-14T02:00:00Z,15.249994,NaN
2800401,2017-01-14T02:00:00Z,15.499994,NaN
2800401,2017-01-15T02:00:00Z,19.469995,34.82
2800401,2017-01-15T02:00:00Z,19.549982,34.809998
2800401,2017-01-15T02:00:00Z,19.779993,34.84
2800401,2017-01-15T01:00:00Z,NaN,NaN
2800401,2017-01-15T02:00:00Z,15.159998,NaN
2800401,2017-01-15T02:00:00Z,19.57998,34.82
2800401,2017-01-15T02:00:00Z,16.189997,NaN
2800401,2017-01-15T02:00:00Z,18.739985,34.78
2800401,2017-01-15T02:00:00Z,12.429987,34.39
2800401,2017-01-15T02:00:00Z,19.659998,34.86
2800401,2017-01-15T02:00:00Z,15.549982,NaN
2800401,2017-01-15T02:00:00Z,19.769983,34.85
2800401,2017-01-15T02:00:00Z,12.6,34.42
2800401,2017-01-15T02:00:00Z,18.38,34.809998
2800401,2017-01-15T02:00:00Z,11.649988,34.329998
2800401,2017-01-15T02:00:00Z,19.529993,NaN
2800401,2017-01-15T02:00:00Z,12.869989,NaN
2800401,2017-01-15T02:00:00Z,18.140009,34.8
2800401,2017-01-15T02:00:00Z,13.7000065,NaN
2800401,2017-01-16T02:00:00Z,19.260004,34.8
2800401,2017-01-16T02:00:00Z,19.540003,34.829998
2800401,2017-01-16T13:00:00Z,NaN,NaN
2800401,2017-01-16T02:00:00Z,19.61999,NaN
2800401,2017-01-16T02:00:00Z,19.459986,34.829998
2800401,2017-01-16T02:00:00Z,19.570002,34.84
2800401,2017-01-16T02:00:00Z,19.6,34.86
2800401,2017-01-16T02:00:00Z,19.559992,34.85
2800401,2017-01-16T21:00:00Z,NaN,NaN
2800401,2017-01-16T02:00:00Z,19.61999,34.86
2800401,2017-01-16T17:00:00Z,NaN,NaN
2800401,2017-01-16T02:00:00Z,NaN,NaN
2800401,2017-01-16T02:00:00Z,19.489985,34.84
2800401,2017-01-16T02:00:00Z,19.559992,34.85
2800401,2017-01-16T02:00:00Z,11.760004,34.34
2800401,2017-01-16T02:00:00Z,19.549982,34.84
2800401,2017-01-16T02:00:00Z,19.510004,34.829998
2800401,2017-01-16T02:00:00Z,19.570002,34.86
2800401,2017-01-16T02:00:00Z,19.559992,34.85
2800401,2017-01-16T02:00:00Z,16.929987,34.7
2800401,2017-01-16T02:00:00Z,19.57998,34.87
2800401,2017-01-17T02:00:00Z,19.489985,34.87
2800401,2017-01-17T02:00:00Z,19.519983,NaN
2800401,2017-01-17T02:00:00Z,19.510004,34.85
2800401,2017-01-17T02:00:00Z,17.86999,34.76
2800401,2017-01-17T07:00:00Z,NaN,NaN
2800401,2017-01-17T02:00:00Z,13.019983,NaN
2800401,2017-01-17T02:00:00Z,19.60998,34.85
2800401,2017-01-17T02:00:00Z,19.559992,34.86
2800401,2017-01-17T02:00:00Z,19.320002,34.84
2800401,2017-01-17T02:00:00Z,19.549982,34.86
2800401,2017-01-17T02:00:00Z,17.899988,34.78
2800401,2017-01-18T02:00:00Z,18.950006,34.829998
2800401,2017-01-18T06:00:00Z,NaN,NaN
2800401,2017-01-18T15:00:00Z,NaN,NaN
2800401,2017-01-18T02:00:00Z,16.999994,34.75
2800401,2017-01-18T02:00:00Z,11.049982,34.309998
2800401,2017-01-18T02:00:00Z,19.219995,34.85
2800401,2017-01-18T02:00:00Z,19.38,NaN
2800401,2017-01-18T02:00:00Z,19.219995,NaN
2800401,2017-01-18T02:00:00Z,18.029993,34.76
2800401,2017-01-18T02:00:00Z,19.230005,NaN
2800401,2017-01-18T02:00:00Z,18.980005,34.829998
2800401,2017-01-18T02:00:00Z,14.260004,NaN
2800401,2017-01-18T02:00:00Z,12.879999,NaN
2800401,2017-01-18T02:00:00Z,12.35998,NaN
2800401,2017-01-19T02:00:00Z,14.920008,NaN
2800401,2017-01-19T02:00:00Z,19.029993,34.84
2800401,2017-01-19T13:00:00Z,NaN,NaN
2800401,2017-01-19T02:00:00Z,11.869989,34.37
2800401,2017-01-19T01:00:00Z,NaN,NaN
2800401,2017-01-19T02:00:00Z,18.239985,34.78
2800401,2017-01-19T03:00:00Z,NaN,NaN
2800401,2017-01-19T02:00:00Z,12.920008,NaN
2800401,2017-01-19T02:00:00Z,19.450006,NaN
2800401,2017-01-20T02:00:00Z,19.279993,34.87
2800401,2017-01-20T02:00:00Z,18.730005,34.829998
2800401,2017-01-20T02:00:00Z,12.869989,NaN
2800401,2017-01-20T02:00:00Z,14.589991,NaN
2800401,2017-01-20T02:00:00Z,19.559992,34.84
2800401,2017-01-20T02:00:00Z,19.230005,34.87
2800401,2017-01-20T02:00:00Z,19.299982,NaN
2800401,2017-01-20T02:00:00Z,11.070002,34.309998
2800401,2017-01-20T02:00:00Z,19.249994,34.85
2800401,2017-01-20T02:00:00Z,15.540003,NaN
2800401,2017-01-20T02:00:00Z,11.829981,34.399998
2800401,2017-01-20T02:00:00Z,14.9699955,NaN
2800401,2017-01-21T02:00:00Z,19.189997,34.86
2800401,2017-01-21T02:00:00Z,17.33999,34.719997
2800401,2017-01-21T02:00:00Z,19.399988,34.86
2800401,2017-01-21T02:00:00Z,10.829981,34.3
2800401,2017-01-21T02:00:00Z,19.200006,34.86
2800401,2017-01-21T02:00:00Z,15.510004,NaN
2800401,2017-01-21T02:00:00Z,19.230005,34.85
2800401,2017-01-21T02:00:00Z,19.219995,34.86
2800401,2017-01-21T02:00:00Z,17.950006,34.719997
2800401,2017-01-21T02:00:00Z,19.399988,34.85
2800401,2017-01-21T02:00:00Z,19.399988,NaN
2800401,2017-01-21T02:00:00Z,13.10998,NaN
2800401,2017-01-21T02:00:00Z,11.480005,34.37
2800401,2017-01-21T02:00:00Z,10.799982,34.309998
2800401,2017-01-21T02:00:00Z,19.409998,34.87
2800401,2017-01-21T02:00:00Z,17.700006,34.76
2800401,2017-01-21T02:00:00Z,17.290003,34.719997
2800401,2017-01-21T02:00:00Z,19.219995,34.87
2800401,2017-01-22T02:00:00Z,19.279993,34.88
2800401,2017-01-22T02:00:00Z,19.239985,NaN
2800401,2017-01-22T02:00:00Z,19.219995,34.87
